user_id,reviewerName,item_id,hotelName,reviewText,hotel_url,date,title,text,service,location,value,cleanliness,sleep quality,rooms,check in / front desk,"business service (e.g., internet access)",sentiment_score,sentiment_label,rating,implicit_feedback,sentiment_numeric
10,Brett-Sweden,1735469,Pousada Rumo dos Ventos Paraty State of Rio de Janeiro,Quiet and spacious Nice place to stay. Good pool and area to relax. Pool table and decent wifi in common areas. Breakfast was very good and the rooms have lots of space. Very clean and comfortable. One problem was lots of mosquitos even in our room. I think this is a paraty problem rather than hotel problem but the room lacked a mosquito net and we where bitten all over. Shower was nice and warm. Location is just out of town. 10min walk and the hotel will provide a map. Overall a nice place and good stay,Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,2016-12-01T00:00:00,Quiet and spacious,Nice place to stay. Good pool and area to relax. Pool table and decent wifi in common areas. Breakfast was very good and the rooms have lots of space. Very clean and comfortable. One problem was lots of mosquitos even in our room. I think this is a paraty problem rather than hotel problem but the room lacked a mosquito net and we where bitten all over. Shower was nice and warm. Location is just out of town. 10min walk and the hotel will provide a map. Overall a nice place and good stay,,,,,,,,,0.38952381,positive,4,1,1
11,analuizade,1735469,Pousada Rumo dos Ventos Paraty State of Rio de Janeiro,"Very cozy! I had a very pleasant stay at this hotel! All the staff were very friendly, attentive and made me feel at home. They can book boat tours for you as well at the reception. Rooms are very cozy and there is a small swimming pool to enjoy. Great place for nature lovers!!",Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,2016-09-01T00:00:00,Very cozy!,"I had a very pleasant stay at this hotel! All the staff were very friendly, attentive and made me feel at home. They can book boat tours for you as well at the reception. Rooms are very cozy and there is a small swimming pool to enjoy. Great place for nature lovers!!",5,,4,4,,,,,0.3065625,positive,5,1,1
12,heckfy,1735469,Pousada Rumo dos Ventos Paraty State of Rio de Janeiro,"Loved out stay, a lot of character Well, this hotel stands out from the crowd, so it is worth a bit extended review. To keep it short, we loved the stay and would come again. The highlights include: 1. Monkeys! They have super cute monkeys (small ones, the size of a cat) leaving on the trees, everyone loved them! 2. The rooms are perfectly clean and have a lot of character. 3. The breakfast was really really nice 4. The staff was very helpful 5. Overall, it was nice and relaxing. On the negative side: 1. Wi-Fi had issues 2. It's about 25 mins walk to the Old Town. It's good, because it's quiet and parking is easy, but it's a personal preference. 3. The rooms open up into the courtyard, so if you want to sleep late, you may get woken up by guests eating breakfast. It didn't bother us and we had great sleep. Overall, we loved it.",Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,2016-01-01T00:00:00,"Loved out stay, a lot of character","Well, this hotel stands out from the crowd, so it is worth a bit extended review. To keep it short, we loved the stay and would come again. The highlights include: 1. Monkeys! They have super cute monkeys (small ones, the size of a cat) leaving on the trees, everyone loved them! 2. The rooms are perfectly clean and have a lot of character. 3. The breakfast was really really nice 4. The staff was very helpful 5. Overall, it was nice and relaxing. On the negative side: 1. Wi-Fi had issues 2. It's about 25 mins walk to the Old Town. It's good, because it's quiet and parking is easy, but it's a personal preference. 3. The rooms open up into the courtyard, so if you want to sleep late, you may get woken up by guests eating breakfast. It didn't bother us and we had great sleep. Overall, we loved it.",5,,,5,,5,,,0.301388889,positive,5,1,1
13,MatheusMedrado,1735469,Pousada Rumo dos Ventos Paraty State of Rio de Janeiro,"Stay The attendance is very good, but faced issues with wifi and hot water for shower. For the breakfast today they faced gas issues, so the hot stuff was missing like eggs, hot coffe and other kind of hot food. In spit of that has a great accommodations and guiding services are quite nice!",Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,2015-10-01T00:00:00,Stay,"The attendance is very good, but faced issues with wifi and hot water for shower. For the breakfast today they faced gas issues, so the hot stuff was missing like eggs, hot coffe and other kind of hot food. In spit of that has a great accommodations and guiding services are quite nice!",,,,,,,,,0.3735,positive,3,0,1
8,TwoMonkeysTravel,1735469,Pousada Rumo dos Ventos Paraty State of Rio de Janeiro,"Really nice staff, yummy breakfast and the monkeys! The pousada is like 30 minute walk to the center of the town but it's really a nice place to stay esp if you have a car! Our room was big for 3 people, very comfy bed, with really nice staff - the girl on night shift spoke english and very helpful. We love the breakfast, had a lot of options from cake, fruits and hot dishes aside from freshly squezed juice! Another highlight was the small monkeys jumping around the property. Highly recommended this place!",Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,2015-07-01T00:00:00,"Really nice staff, yummy breakfast and the monkeys!","The pousada is like 30 minute walk to the center of the town but it's really a nice place to stay esp if you have a car! Our room was big for 3 people, very comfy bed, with really nice staff - the girl on night shift spoke english and very helpful. We love the breakfast, had a lot of options from cake, fruits and hot dishes aside from freshly squezed juice! Another highlight was the small monkeys jumping around the property. Highly recommended this place!",5,,5,,,5,,,0.267307692,positive,5,1,1
14,SaStar,1735469,Pousada Rumo dos Ventos Paraty State of Rio de Janeiro,"Quiet place to stay I stayed here in July 2014 and it was nice. The place is outside the city centre, about 20 minute walk into town. The rooms were clean and comfortable, but not luxurious. The breakfast was ok, a lot to choose from. The staff was the best asset, very friendly and accommodating. I had dinner there one night and the food was excellent. One kid who worked there spoke, French, Spanish and English. But I think he only works there during the school vacation... no one else spoke English. I would stay there again",Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,2014-07-01T00:00:00,Quiet place to stay,"I stayed here in July 2014 and it was nice. The place is outside the city centre, about 20 minute walk into town. The rooms were clean and comfortable, but not luxurious. The breakfast was ok, a lot to choose from. The staff was the best asset, very friendly and accommodating. I had dinner there one night and the food was excellent. One kid who worked there spoke, French, Spanish and English. But I think he only works there during the school vacation... no one else spoke English. I would stay there again",5,,,4,,4,,,0.311011905,positive,4,1,1
15,chrisbG2838DY,1735469,Pousada Rumo dos Ventos Paraty State of Rio de Janeiro,"Restful stay Stayed at Rumo Dos Ventos from 9th to 12th November. Situation on the outskirts of the town, the hotel was clean and peaceful. The walk into town take 20 minutes along the river with wonderful views of the mountain backdrop. The rooms were clean and comfortable, the breakfast excellent, and the staff very friendly and attentive",Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,2013-11-01T00:00:00,Restful stay,"Stayed at Rumo Dos Ventos from 9th to 12th November. Situation on the outskirts of the town, the hotel was clean and peaceful. The walk into town take 20 minutes along the river with wonderful views of the mountain backdrop. The rooms were clean and comfortable, the breakfast excellent, and the staff very friendly and attentive",4,4,4,4,5,4,,,0.533854167,positive,4,1,1
16,virninha,1735469,Pousada Rumo dos Ventos Paraty State of Rio de Janeiro,"Beautiful and Peaceful We stayed at the hotel in April 2013 and we are very pleased with the beauty, peacefulness and care of the place. The main river passes just behind, my suggestion is the boat ride that starts from inside the inn and reaches the sea. Just minutes from the historic center, you can enjoy the nature and the city. The restaurant is excellent, my tip is to order the grilled stingray with a glass of wine.",Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,2013-04-01T00:00:00,Beautiful and Peaceful,"We stayed at the hotel in April 2013 and we are very pleased with the beauty, peacefulness and care of the place. The main river passes just behind, my suggestion is the boat ride that starts from inside the inn and reaches the sea. Just minutes from the historic center, you can enjoy the nature and the city. The restaurant is excellent, my tip is to order the grilled stingray with a glass of wine.",5,5,5,5,5,5,,,0.312962963,positive,5,1,1
17,AugustusC_13,1735469,Pousada Rumo dos Ventos Paraty State of Rio de Janeiro,Amazing It's just an amazing place to stay in Parati. Rent a boat and take a ride through the river and beaches. It's just beautiful. The food of the hotel is even better than the restaurants in town. Explore the historical center and enjoy the festivities.,Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,2013-04-01T00:00:00,Amazing,It's just an amazing place to stay in Parati. Rent a boat and take a ride through the river and beaches. It's just beautiful. The food of the hotel is even better than the restaurants in town. Explore the historical center and enjoy the festivities.,5,5,5,5,5,5,,,0.407142857,positive,5,1,1
18,AnnaMir,1735469,Pousada Rumo dos Ventos Paraty State of Rio de Janeiro,"Excellent place. Don't understand the negative comments We stayed at the pousada for four days. The rooms are large and clean, the breakfast is wonderful and the staff is friendly and helpful.They offered a late checkout when rquested with no issues. Location is quiet but 2 minutes away from historic center by car (next door to the bambu bamboo pousada). We will be back again.",Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,2011-10-01T00:00:00,Excellent place. Don't understand the negative comments,"We stayed at the pousada for four days. The rooms are large and clean, the breakfast is wonderful and the staff is friendly and helpful.They offered a late checkout when rquested with no issues. Location is quiet but 2 minutes away from historic center by car (next door to the bambu bamboo pousada). We will be back again.",5,4,5,4,5,5,,,0.187996032,positive,5,1,1
19,kiarek,1821178,Agriturismi Il Castello La Grancia Pienza Tuscany,"Great time in a lovely location I had a wonderful time for a couple of nights. Cozy bedrooms and tasty breakfast. The location is very good for visiting places such as Montalcino, Montepulciano, Bagno Vignoni, San Galgano. Highly recommended :)",Hotel_Review-g644280-d1821178-Reviews-Agriturismi_Il_Castello_La_Grancia-Pienza_Tuscany.html,2018-10-01T00:00:00,Great time in a lovely location,"I had a wonderful time for a couple of nights. Cozy bedrooms and tasty breakfast. The location is very good for visiting places such as Montalcino, Montepulciano, Bagno Vignoni, San Galgano. Highly recommended :)",5,,5,,,5,,,0.45875,positive,5,1,1
20,ririm2016,1821178,Agriturismi Il Castello La Grancia Pienza Tuscany,"An experience in the beautiful Val D’Orcia Agriturismo La Grancia is a room rentals structure in Spedaletto in the same compound of Agriturismo Spedaletto which is a complex including a 1300 Castle just a separate management. The Grancia rooms are those in the building on the left as soon as you enter the complex, and includes rooms on the ground floor and 1st floor, a common kitchenette where you can make your own coffee or tea and store your stuff in the Frigidaire (but you cannot cook), a common area with a large table and chairs and WiFi is free and worked perfectly. The room was on the ground floor, it was large and comfortable with window opening on a private seating area outside. Cotto stone floors and high ceiling with wooden beams. No safebox in our room so keep note of it. TIP: You are in the countryside, it is normal to find some bugs here and there, the outside premises is full of plants and flowers therefore there are mosquitoes and bees so if you get bitten I suggest to bring mosquitoes repellants it will be very helpful. The breakfast is served in a lovely large room on a long table in a different structure you walk to. Homemade cakes made by the lovely owner Cinzia who makes also nice fresh eggs taken from her own chickens. She will prepare your cappuccino and eggs and you will also enjoy local cured meats,tomatoes, toasted bread cheese and more. To makes it clear for other guests this is not an Hotel but more of a room rental, Cinzia will go over and beyond to accommodate you but keep in mind you have to be organized because you are in the middle of nowhere so plan accordingly. Also, you will need a car to get to this area, no way around without . There is a small restaurant open at lunch only in the compound . The whole complex is very cute there is a lot of green, a bio lake where you can bathe in but has to follow the rules because it is a natural pond with plants and you have to shower before getting in and not use sunscreen or lotions you may compromise the waters and the plants. There is plenty of space to walk, lounge chairs and little cute gazebos to relax. Cinzia the owner and her daughter Alice are exquisite women very friendly and open minded. The structure has also an adjacent mill where you can buy homemade products. The major attractions are close by: Pienza is very close as well as Bagno Vignoni and San Quirico D’Orcia and you can also reach Montalcino and other small famous towns. Thank you Cinzia !",Hotel_Review-g644280-d1821178-Reviews-Agriturismi_Il_Castello_La_Grancia-Pienza_Tuscany.html,2018-09-01T00:00:00,An experience in the beautiful Val D’Orcia,"Agriturismo La Grancia is a room rentals structure in Spedaletto in the same compound of Agriturismo Spedaletto which is a complex including a 1300 Castle just a separate management. The Grancia rooms are those in the building on the left as soon as you enter the complex, and includes rooms on the ground floor and 1st floor, a common kitchenette where you can make your own coffee or tea and store your stuff in the Frigidaire (but you cannot cook), a common area with a large table and chairs and WiFi is free and worked perfectly. The room was on the ground floor, it was large and comfortable with window opening on a private seating area outside. Cotto stone floors and high ceiling with wooden beams. No safebox in our room so keep note of it. TIP: You are in the countryside, it is normal to find some bugs here and there, the outside premises is full of plants and flowers therefore there are mosquitoes and bees so if you get bitten I suggest to bring mosquitoes repellants it will be very helpful. The breakfast is served in a lovely large room on a long table in a different structure you walk to. Homemade cakes made by the lovely owner Cinzia who makes also nice fresh eggs taken from her own chickens. She will prepare your cappuccino and eggs and you will also enjoy local cured meats,tomatoes, toasted bread cheese and more. To makes it clear for other guests this is not an Hotel but more of a room rental, Cinzia will go over and beyond to accommodate you but keep in mind you have to be organized because you are in the middle of nowhere so plan accordingly. Also, you will need a car to get to this area, no way around without . There is a small restaurant open at lunch only in the compound . The whole complex is very cute there is a lot of green, a bio lake where you can bathe in but has to follow the rules because it is a natural pond with plants and you have to shower before getting in and not use sunscreen or lotions you may compromise the waters and the plants. There is plenty of space to walk, lounge chairs and little cute gazebos to relax. Cinzia the owner and her daughter Alice are exquisite women very friendly and open minded. The structure has also an adjacent mill where you can buy homemade products. The major attractions are close by: Pienza is very close as well as Bagno Vignoni and San Quirico D’Orcia and you can also reach Montalcino and other small famous towns. Thank you Cinzia !",,,,,,,,,0.183154762,positive,5,1,1
21,Cowgirl1988,1821178,Agriturismi Il Castello La Grancia Pienza Tuscany,"Amazing hospitality Dear Alicia, we enjoyed our stay so much at La Grancia. Your Mother is so amazing at running the breakfast buffet, the food was so delicious. Your Nonna’s baking also was incredible. The Castle & grounds were kept meticulously. We stayed in the Molino building & our room was on top floor. It was big & beautifully done & with a Gorgeous view. We got to relaxed at local hot springs and enjoyed exploring nearby Monteriggioni, Monticchiello & Montepulciano. Just the perfect location! Than you so much,,,",Hotel_Review-g644280-d1821178-Reviews-Agriturismi_Il_Castello_La_Grancia-Pienza_Tuscany.html,2018-09-01T00:00:00,Amazing hospitality,"Dear Alicia, we enjoyed our stay so much at La Grancia. Your Mother is so amazing at running the breakfast buffet, the food was so delicious. Your Nonna’s baking also was incredible. The Castle & grounds were kept meticulously. We stayed in the Molino building & our room was on top floor. It was big & beautifully done & with a Gorgeous view. We got to relaxed at local hot springs and enjoyed exploring nearby Monteriggioni, Monticchiello & Montepulciano. Just the perfect location! Than you so much,,,",,,,,,,,,0.52,positive,5,1,1
22,LanaSweet,1821178,Agriturismi Il Castello La Grancia Pienza Tuscany,"Real castel and nobody around We spent 3 days in may in this wonderful place - very quet with amazing views and plants! In a morning you can hear birds, very tasty breakfast from the owner of the castel. We spent here only late evenings, nights and early mornings and it was like in a paradise! Very recommend for travellers with a car.",Hotel_Review-g644280-d1821178-Reviews-Agriturismi_Il_Castello_La_Grancia-Pienza_Tuscany.html,2017-08-01T00:00:00,Real castel and nobody around,"We spent 3 days in may in this wonderful place - very quet with amazing views and plants! In a morning you can hear birds, very tasty breakfast from the owner of the castel. We spent here only late evenings, nights and early mornings and it was like in a paradise! Very recommend for travellers with a car.",5,5,,,,5,,,0.197727273,positive,5,1,1
23,Kelleygirl2,1821178,Agriturismi Il Castello La Grancia Pienza Tuscany,"Gorgeous agriturismo with beautiful grounds and an olive oil and pasta operation We made a brief stop to visit the 12th century Castello La Grancia di Spedletto, in Pienza, currently an agriturismo with a small olive oil and pasta making operation. This castle, built along the Francigena or pilgrim road, was built by priest Ugolino da Rocchione as a fortified farm and a place to host pilgrims on their journey. It sits in a quiet rural setting with scenic views of the beautiful Orcia Valley. You can book rooms with breakfast included in this lovely restored castle! Wish we had been able to. If we return we surely will!",Hotel_Review-g644280-d1821178-Reviews-Agriturismi_Il_Castello_La_Grancia-Pienza_Tuscany.html,2017-05-01T00:00:00,Gorgeous agriturismo with beautiful grounds and an olive oil and pasta operation,"We made a brief stop to visit the 12th century Castello La Grancia di Spedletto, in Pienza, currently an agriturismo with a small olive oil and pasta making operation. This castle, built along the Francigena or pilgrim road, was built by priest Ugolino da Rocchione as a fortified farm and a place to host pilgrims on their journey. It sits in a quiet rural setting with scenic views of the beautiful Orcia Valley. You can book rooms with breakfast included in this lovely restored castle! Wish we had been able to. If we return we surely will!",,4,,,,,,,0.354545455,positive,4,1,1
24,RL1973,1821178,Agriturismi Il Castello La Grancia Pienza Tuscany,Really enjoyed the experience Recently spent 2 nights here and used it as a base to visit many small hill towns and served the purpose very well. Lovely accomodation in a very unusual setting. Full marks to the lovely owners for renovating parts for the purpose of tourism and providing such an experience. Great breakfast spread in a basement room which got us fuelled up for hectic days of driving. Stay here for the experience and very reasonable tariff,Hotel_Review-g644280-d1821178-Reviews-Agriturismi_Il_Castello_La_Grancia-Pienza_Tuscany.html,2017-01-01T00:00:00,Really enjoyed the experience,Recently spent 2 nights here and used it as a base to visit many small hill towns and served the purpose very well. Lovely accomodation in a very unusual setting. Full marks to the lovely owners for renovating parts for the purpose of tourism and providing such an experience. Great breakfast spread in a basement room which got us fuelled up for hectic days of driving. Stay here for the experience and very reasonable tariff,5,,,,5,5,,,0.209230769,positive,5,1,1
