Unnamed: 0,rating,user_id,reviewText,categories,item_id,unixReviewTime,reviewTime,gps,price,dtime,hour,minute,second,sentiment score,sentiment_label,sentiment_numeric
10,1,5118821,"Have been going to this restaurant for years and always enjoyed fresh sliced turkey dinner with the sides and pie for dessert for a reasonable price.  On this Thanksgiving Day all four in our party ordered the above but received pressed turkey, cold and uncooked yams served in little cut up squares, uncooked veggies.  It was terrible and we sent it back and ordered the fresh cut ham but it was canned ham and the sides were the same as above.  They would not allow us to order from the regular menu and the charge for this terrible dinner was $24.95 each.  The apple pie tasted okay. They have lost mine and my entire family's business.  I know these had to be different owners than the ones in the past.  The staff was all Asian, either Chinese or Japanese so perhaps they just do not know how to run an American restaurant.  Of course I love both Chinese and Japanese food but not when I expect American food in an American restaurant on an American Thanksgiving Day.  Thank you for allowing me to express my opinion and disappointment in this traditional meal that my family and I have enjoyed for years there in the past.","['American Restaurant', 'Bakery']",9206292,1385860482,11/30/2013,"[34.152491, -118.454241]",$$,12/1/2013 1:14,1,14,42,-0.573978771,negative,-1
11,5,4234285,"Nice small atmosphere, minimalist design, great beer. This is a great place to try a sampler flight if you've never been. Brewed on-location. As far as food is concerned, it isn't much. Try all the brews and you'll like (at the very least) one of them. +1 for Nitro Solidarity.",['Nightlife'],1788197,1354000956,11/26/2012,"[34.115102, -118.243501]",$$,11/27/2012 7:22,7,22,36,0.68047565,positive,1
12,3,4234285,"I ordered four tacos to go, drove home and found my order made completely wrong. It was too far to go back and re-order.   Advice for any vegetarians wishing to dine here: *make sure* you say no meat, probably twice, instead of saying ""I'd like only veg items x, y and z"". Because they did give me x, y and z, only on top of a mountain of beef.  Other times, the food has been okay and the service isn't bad (at least at the counter). As a plus, they did charge me the 75 cents for a meatless taco. Could've been worse, could've been way better.","['Mexican Restaurant', 'Latin American Restaurant']",8097736,1354000521,11/26/2012,"[34.130254, -118.252288]",$$,11/27/2012 7:15,7,15,21,-0.522173781,negative,-1
13,5,1549476,"Hoity toity country market in a perfect, oddly non-redneck setting","['American Restaurant', 'Deli', 'Food Products Supplier']",6874635,1311509170,7/24/2011,"[38.668615, -122.817146]",$$,7/24/2011 12:06,12,6,10,0.684832105,positive,1
14,5,3082165,Excellent Fresh Mexican food for the health choice options.  Ray Schmidt,"['Mexican Restaurant', 'Latin American Restaurant', 'Fast Food Restaurant']",2645441,1378408333,9/5/2013,"[34.260105, -119.234134]",$$$,9/5/2013 19:12,19,12,13,0.899313661,positive,1
15,4,2381911,"Gap always has a jean that fits awesomely, i wish their prices were a bit competitive in comparison to their outlets, also the amount of the pieces they have in store sometimes fly so quick that is hard to find an specific size with their best sellers, but in general i really like this store and most of their products.","['Clothing Store', ""Women's Clothing Store"", ""Children's Clothing Store""]",6958612,1355436757,12/13/2012,"[37.784711, -122.407447]",$$,12/13/2012 22:12,22,12,37,0.57538865,positive,1
16,4,2381911,"I like the wide range macy's has in their store, however their service is not quite as good, maybe cause the store is so big, also i wish they were more attentive to the dresser area. In general they usually have good prices for dresses and i like the little starbucks inside the store.","['Department Store', ""Men's Clothing Store""]",6117386,1355437030,12/13/2012,"[37.786801, -122.407638]",$$,12/13/2012 22:17,22,17,10,0.123152791,neutral,0
17,5,2381911,"I love the guys that work at this store, they are always very friendly, smiley and happy to serve, they are also very quick with their tasks. Besides that the juices and snacks they have are really good",['Juice Shop'],9500815,1355436832,12/13/2012,"[37.787559, -122.401067]",$$$,12/13/2012 22:13,22,13,52,0.878957481,positive,1
18,4,2381911,"I like browsing at nordstrom, but today while looking for a product at their chanel stand i felt the staff they had there wasn't as good, he didn't recommend me anything else or help me much with my selection of the lipstick i was looking for, their products are amazing yes, but i wish they were more helpful.",['Clothing Store'],8024660,1355436447,12/13/2012,"[37.784143, -122.407361]",$$,12/13/2012 22:07,22,7,27,-0.123729752,neutral,0
19,4,2381911,"I like the boulange pretty much at any of their locations, however this one always kills me a bit with their closed add because i feel is a bit -tough- on the clients, besides that they are pretty nice and friendly all day and their food is yummy","['Restaurant', 'Bakery', 'Cafe']",7661847,1355436317,12/13/2012,"[37.787736, -122.403049]",$$,12/13/2012 22:05,22,5,17,0.385598617,positive,1
20,5,2381911,"Sephora is a great store, i always think of back home and tell myself i wish we had sephora in my country, their staff is always helpful and smiley, their products are wide in range and they always have something nice for just anybody.  I wish their perfume selection was wider but i think the store is very complete in general.",['Cosmetics Store'],6146633,1355436651,12/13/2012,"[37.784983, -122.407872]",$,12/13/2012 22:10,22,10,51,0.841234777,positive,1
21,4,2381911,"The people at the dressBarn helped me finding a nice dress for a wedding, the prices they have are accesible and good in comparison to other stores, they always have something good in the store.","[""Women's Clothing Store""]",5225073,1355436076,12/13/2012,"[37.792145, -122.402735]",$$,12/13/2012 22:01,22,1,16,0.686160572,positive,1
22,1,9951785,"Veronica in the pharmacy department is EXTREMELY RUDE AND UNPROFESSIONAL! She showed no compassion towards me after having 2 spine surgeries she jumped to conclusions and made accusations of me being a med seeker, when really i have had 2 unsuccessful back surgeries and am in constant pain. She does not deserve a job in healthcare. When I called back to speak with a manager Veronica hung up on me and said some very rude 4 letter words to me before she hung up.","['Pharmacy', 'Photo Shop', 'Variety Store']",1930703,1393367475,2/25/2014,"[34.425417, -117.325115]",$$,2/25/2014 22:31,22,31,15,-0.583570447,negative,-1
23,5,2656996,"Hands down, the BEST Pizza in town !!!  Get the NY Style Pizza - they use fresh cheese, homemade sauce and delicious toppings. My favorite is actually the regular cheese pizza, but also try the pesto, white cheese, meatball.....and others. They are all delish!  You can also order by the slice or a whole pizza pie.  The cool chic - Lily is always working hard and delivers excellent customer service, every single time I'm there! And Andrea and the rest of the staff and owner are super friendly, treat you like family, and quick w/ service. Small family-owned businesses are the best.  Small cool restaurant.... and that's all you need.  Come in and try these guys out... you will not be disappointed.","['Pizza Restaurant', 'European Restaurant', 'Italian Restaurant']",948933,1379534695,9/18/2013,"[34.086451, -118.376277]",$$,9/18/2013 20:04,20,4,55,0.960520501,positive,1
24,5,2656996,"OMG... Burger Lounge is the Absolute BEST Burger joint in town!  I always get the yummy Lounge Burger w/ American Cheddar, lettuce, tomatoes, sauce, cooked medium.  And fresh french fries w/ ranch dressing. Yumm!  AND it's Grass-Fed Beef.  That's what beef is suppose to be - grass-fed, lean, delicious.  Everything is made ""Fresh - Made To Order"" !!!  They do not cook it, till you order it.  And that's what real food is suppose to be.  I also like the fact that their pop is organic w/ cane sweetened real sugar. That's what real pop is.   None of that processed corn syrup crap.  AND absolutely great customer service from Romel, dude who looks like Ed Norton, and the rest of the staff rocks!  They always make sure I'm completely satisfied, refill and bring over extras to make you happy.  The fresh local food, excellent customer service and great ambience and vibe, -- has made me a regular customer.  Thx Burger Lounge... You guys rock!","['Hamburger Restaurant', 'Fast Food Restaurant', 'American Restaurant']",6485108,1378960018,9/11/2013,"[34.09375, -118.377878]",$$$,9/12/2013 4:26,4,26,58,0.745849933,positive,1
25,2,2075116,"Unfortunately my pizza was overcooked. The kids were picking off the burnt pepperoni. Apparently the cheesey bread has mayo on it and not butter. This was my first time ordering over the phone with this pizzeria. $40 for pizza, pop, and bread. Tip included. Not a good meal.","['Pizza Restaurant', 'European Restaurant', 'Delivery Restaurant']",7498056,1356723179,12/28/2012,"[40.804633, -124.154519]",$$,12/28/2012 19:32,19,32,59,-0.711637917,negative,-1
26,5,739110,Food is pretty good and it's a friendly environment.  They can accommodate if you're in a hurry.,"['Asian Restaurant', 'Chinese Restaurant']",6537906,1395020034,3/16/2014,"[36.673784, -121.655614]",$$,3/17/2014 1:33,1,33,54,0.479263297,positive,1
27,5,1165249,Fantastic food and service!,"['Latin American Restaurant', 'Mexican Restaurant']",9612889,1358185965,1/14/2013,"[35.126212, -118.00204]",$$,1/14/2013 17:52,17,52,45,0.930499599,positive,1
28,4,9374143,Good place to shop,"['Grocery Store', 'Bakery', 'Florist']",3028203,1387057808,12/14/2013,"[38.103714, -122.571613]",$$,12/14/2013 21:50,21,50,8,0.561324714,positive,1
29,4,6163819,"We ordered a seafood kebob plate, a signature lamb with yogurt sauce and rice, and a soup.  We liked everything. I found the lamb to be a bit too rich, and I probably will order something else when I go there next time. But I am glad I tried it.  Honestly you can't find food like this hardly any where else, so when you go, you should try the signature dishes.  The atmosphere was fun, and on a rainy weekday, they were super busy.  that tells you something!","['Middle Eastern Restaurant', 'Mediterranean Restaurant']",1618746,1385074891,11/21/2013,"[37.376215, -122.030151]",$$,11/21/2013 23:01,23,1,31,0.527604167,positive,1
30,3,9500135,I don't see a big difference between Cafe Rio and Chipotle.  A nicer copycat?  Perhaps you can choose it because it doesn't belong to McDonald's like Chipotle? It isn't my kind of Mexican trying-to-look-not-so-fast-food restaurant.,"['Mexican Restaurant', 'Latin American Restaurant', 'Fast Food Restaurant']",7394452,1336450269,5/7/2012,"[33.849094, -118.142714]",$$$,5/8/2012 4:11,4,11,9,-0.172124519,neutral,0
31,4,9500135,"If you have never been in a souplantation, is basically salads,soups,pizza,fruits and coffee buffet. NOT for meat lovers.",['Restaurant'],4333991,1357076004,1/1/2013,"[33.853636, -118.137184]",$$,1/1/2013 21:33,21,33,24,-0.424338956,negative,-1
32,4,9500135,"Very good place. Much better that Benihana and less expensive (still, teppan diner for 2 is at least $50). Scallops are my favorite. The fried rice w/extra garlic is also excellent.","['Japanese Restaurant', 'Asian Restaurant', 'Sushi Restaurant']",3629639,1354328801,11/30/2012,"[33.854174, -118.138261]",$$,12/1/2012 2:26,2,26,41,0.719983334,positive,1
33,4,9500135,"Typical Korean restaurant. Free appetizers and good ""stew/soup"".","['Korean Restaurant', 'Asian Restaurant']",6200350,1345082722,8/15/2012,"[33.816571, -118.306795]",$$$,8/16/2012 2:05,2,5,22,0.440604583,positive,1
34,3,9500135,"Nice lunch, Indian Buffet for about $10","['Indian Restaurant', 'Asian Restaurant', 'South Asian Restaurant']",7793663,1359247983,1/26/2013,"[33.83625, -118.321158]",$$$,1/27/2013 0:53,0,53,3,0.627195343,positive,1
35,4,9500135,"Very good pastrami sandwich, but the corned beef was even better.",['Sandwich Shop'],7047016,1352350749,11/7/2012,"[33.821267, -118.326161]",$$$,11/8/2012 4:59,4,59,9,0.421688854,positive,1
36,3,9500135,It's not bad if you never had  churrascaria before. I tried several and this is last on my list. Extremely limited variety of meat & salads. 1/19/13,"['Brazilian Restaurant', 'Steak House']",4464010,1358656266,1/19/2013,"[33.780776, -116.466109]",$$,1/20/2013 4:31,4,31,6,0.036122561,neutral,0
37,5,9500135,Very good breakfast and huge portions.,['Family Restaurant'],5688238,1354387383,12/1/2012,"[33.832605, -118.160912]",$$,12/1/2012 18:43,18,43,3,0.755413729,positive,1
38,2,9500135,"The service was so bad, we will never go back to THAT subway. Maybe it is because they are the only ones there ...","['Sandwich Shop', 'Fast Food Restaurant']",7425243,1348444215,9/23/2012,"[34.851092, -117.082243]",$$$,9/23/2012 23:50,23,50,15,-0.816063722,negative,-1
39,3,9500135,"Small store, carryout and delivery only.","['Pizza Restaurant', 'European Restaurant']",2556406,1345594255,8/21/2012,"[33.833105, -118.142365]",$$$,8/22/2012 0:10,0,10,55,-0.188582598,neutral,0
40,4,9500135,"I tried for breakfast a few times, the chicken fried steak is always excellent. Nice portions sizes, full cup of coffee all the time (love the service).","['Cafe', 'Diner']",7920964,1359248203,1/26/2013,"[33.781296, -116.466916]",$$$,1/27/2013 0:56,0,56,43,0.911374458,positive,1
41,3,9500135,Not better than denny's  :-(,['American Restaurant'],8374046,1358796924,1/21/2013,"[33.83555, -116.546583]",$$$,1/21/2013 19:35,19,35,24,-0.334026366,negative,-1
42,3,9500135,Unexpected: this place cooks chicken perfectly every time.,"['American Restaurant', 'Steak House']",2792636,1343185727,7/24/2012,"[33.917296, -118.073733]",$$,7/25/2012 3:08,3,8,47,0.933731263,positive,1
43,4,9500135,Good burger,"['Restaurant', 'American Restaurant', 'Diner']",1637956,1342218989,7/13/2012,"[34.638646, -120.453834]",$$,7/13/2012 22:36,22,36,29,0.592956258,positive,1
44,4,9500135,"Little pricey, but good, above average.","['European Restaurant', 'Pizza Restaurant', 'American Restaurant']",5284641,1339891780,6/16/2012,"[33.851686, -118.141021]",$$,6/17/2012 0:09,0,9,40,0.37487955,positive,1
45,5,9500135,Excellent breakfast. Be patient and be sure to write your name on the list.,"['Bakery', 'Restaurant']",4323697,1368290130,5/11/2013,"[33.824086, -118.185171]",$$$,5/11/2013 16:35,16,35,30,0.930074337,positive,1
46,4,9500135,"Always packed for breakfast, huge portions, good quality, good flavor and fair prices. Never disappointed.","['American Restaurant', 'European Restaurant', 'Italian Restaurant']",4338005,1359248986,1/26/2013,"[36.144218, -115.202491]",$$,1/27/2013 1:09,1,9,46,0.802635607,positive,1
47,5,9500135,"Very""modern"": select, customize and order your food with an iPad. Good quality,nice portion size and fast.","['American Restaurant', 'Hamburger Restaurant']",1921903,1344735043,8/11/2012,"[33.862883, -118.092693]",$$,8/12/2012 1:30,1,30,43,0.801139497,positive,1
48,4,9500135,"This place is always busy (you know why). Very good, healthy food, strong coffee (THANK YOU!), fresh ingredients. The bad side? A little expensive and cash only. But I don't care :-)","['Cafe', 'Coffee Shop']",1761501,1336446096,5/7/2012,"[33.771626, -118.148372]",$$$,5/8/2012 3:01,3,1,36,0.656591354,positive,1
49,2,9500135,"Perhaps a bad day, but not worth it. Waited for 1 hour (really, from 7pm to 8pm) for a house salad, one sandwich and a sub par pasta. Still waiting for my drinks: -(",['Restaurant'],6635947,1342236020,7/13/2012,"[34.638238, -120.459051]",$$,7/14/2012 3:20,3,20,20,-0.585763665,negative,-1
50,5,9500135,Baby back ribs and tri tip A++. Service A++. The rest just A :-),['Barbecue Restaurant'],9049745,1368150005,5/9/2013,"[33.756283, -118.120817]",$$,5/10/2013 1:40,1,40,5,0.461949194,positive,1
51,4,9500135,"Good quality, good place, good service. A little expensive.",['American Restaurant'],5760745,1338342216,5/29/2012,"[33.936603, -118.121725]",$$,5/30/2012 1:43,1,43,36,0.479320098,positive,1
52,4,9500135,"Best sushi in Vegas. I go every time I can. Always busy, always good, and I always choose the ""all you can eat"" (you ask the server and they will prepare it for you, so it is fresh, it is NOT buffet style)","['Japanese Restaurant', 'Asian Restaurant', 'Sushi Restaurant']",8780574,1351289603,10/26/2012,"[36.115546, -115.134985]",$$,10/26/2012 22:13,22,13,23,0.949383132,positive,1
53,5,9500135,"Stop looking. Best hamburgers in town. Probably best hamburgers in LA county (yes, it's that good ;-)","['Hamburger Restaurant', 'American Restaurant', 'Barbecue Restaurant']",1067861,1336450575,5/7/2012,"[33.880472, -118.125046]",$$,5/8/2012 4:16,4,16,15,0.644457004,positive,1
54,4,9500135,"I'm surprised about the previous reviews. I never had any problems and I've been there several times in the last few months. Clean (the place is not new, but is clean), awesome pita and hummus, great BLT, endless refills of soda and coffee, my wife told me that the baklava is excellent, so I wonder if the evening staff is different.",['Persian Restaurant'],5513658,1364609348,3/29/2013,"[33.887665, -118.101408]",$$,3/30/2013 2:09,2,9,8,0.734295381,positive,1
55,4,9500135,Baja beach omelet is very good.,['Restaurant'],4995612,1367687422,5/4/2013,"[33.938343, -118.122229]",$$,5/4/2013 17:10,17,10,22,0.668210724,positive,1
56,4,9500135,"Excellent for breakfast, If you are hungry, I recommend you the country mix (chopped ham, potatoes, fried eggs, salsa and melted cheese on top ;-)","['Breakfast Restaurant', 'Brunch Restaurant']",8704818,1359249444,1/26/2013,"[33.773432, -118.152274]",$$,1/27/2013 1:17,1,17,24,0.832268281,positive,1
57,5,9500135,"Good coffee,free wifi,no pressure. Very relaxed :-)",['Coffee Shop'],3737805,1344378407,8/7/2012,"[35.13661, -120.626222]",$$,8/7/2012 22:26,22,26,47,0.751773988,positive,1
58,4,9500135,"Good price, better food. This small place could be twice as expensive and twice as famous if it was located in Beverly Hills. Fresh ingredients, attention to detail and very tasty.","['Asian Restaurant', 'Southeast Asian Restaurant', 'Thai Restaurant']",9387804,1359248689,1/26/2013,"[33.946823, -118.144692]",$$,1/27/2013 1:04,1,4,49,0.237080503,neutral,0
59,4,9500135,"This particular Carrows is better than the average. The other ones may be like Denny's and IHOP. Fast, friendly and good. Cold dishes are cold and hot dishes are hot (should be obvious, but in some places it is not). Never had to return a dish, never had to ask for more coffee",['Restaurant'],77701,1293136435,12/23/2010,"[33.901597, -118.106598]",$$,12/23/2010 20:33,20,33,55,0.549669528,positive,1
60,4,9500135,"Good clam chowder, but not the best.","['Restaurant', 'Seafood Restaurant', 'Cafe']",1318797,1365291562,4/6/2013,"[35.140088, -120.642344]",$$,4/6/2013 23:39,23,39,22,0.173744451,neutral,0
61,4,9500135,"Good hamburger,good potato salad,bad ice tea.","['American Restaurant', 'Fast Food Restaurant', 'Family Restaurant']",1767640,1344462317,8/8/2012,"[34.613945, -120.193658]",$$$,8/8/2012 21:45,21,45,17,0.589973998,positive,1
62,3,9500135,"Big variety and the seafood is good. Quality and cleanliness is just OK for a buffet, but the service is very unfriendly.","['Restaurant', 'Asian Restaurant', 'Chinese Restaurant']",2663259,1297816842,2/15/2011,"[33.902011, -118.110482]",$$$,2/16/2011 0:40,0,40,42,0.049694446,neutral,0
63,5,9500135,"All you can eat good MEAT. Used the have a wider variety, but it's still good.","['Brazilian Restaurant', 'Latin American Restaurant', 'South American Restaurant']",6671257,1345082524,8/15/2012,"[33.782016, -118.131492]",$$,8/16/2012 2:02,2,2,4,0.546650143,positive,1
64,4,9500135,"Above average prices, above average quality and above average sizes. When you ask for ribs is not just the bones, they are meaty!. To me, they are way better than Tony Roma's. Also trust me on this one: pay the $14 for the fried chicken.","['Barbecue Restaurant', 'Caterer', 'Takeout Restaurant']",200338,1336449498,5/7/2012,"[33.883087, -118.125398]",$$,5/8/2012 3:58,3,58,18,0.003498629,neutral,0
65,4,9500135,"More expensive than the average Argentine restaurants, but far better quality. Grilled meat was extremely tender and flavorful.","['Argentinian Restaurant', 'South American Restaurant', 'Bar & Grill']",8157784,1348443501,9/23/2012,"[34.083646, -118.347299]",$$,9/23/2012 23:38,23,38,21,0.044139074,neutral,0
66,4,1623031,Always helpful and friendly. good staff,"['Home Improvement Store', 'Hardware Store', 'Lumber Store']",1182428,1367524710,5/2/2013,"[32.702089, -117.101364]",$$$,5/2/2013 19:58,19,58,30,0.75360492,positive,1
67,5,9216966,"Excellent coffee shop, has Google Wallet paypass pads by the registerars (little hard to see). closes at 8 p.m. not 10 p.m.",['Coffee Shop'],7640750,1369434695,5/24/2013,"[34.423052, -119.704231]",$$$,5/24/2013 22:31,22,31,35,0.877371782,positive,1
68,4,9216966,I took my mother to this lovely place one morning and I was happy with the waffles I got. She also seems satisfied with her eggs and toast. One thing that bothered me was when I got chocolate milk they gave me a lot of whip cream inside the chocolate milk. It was great but for 2 dollars ild like to have just a cup of milk with chocolate.,"['American Restaurant', 'Breakfast Restaurant', 'Family Restaurant']",4393299,1358019906,1/12/2013,"[34.398755, -119.518782]",$$,1/12/2013 19:45,19,45,6,0.536132026,positive,1
69,5,1130074,"Big coffee, big food, little price, love it.","['Diner', 'Family Restaurant', 'Breakfast Restaurant']",2384597,1376791103,8/17/2013,"[37.428329, -121.90989]",$$,8/18/2013 1:58,1,58,23,0.90270934,positive,1
70,2,1130074,"Worst Chicken Sharma I have ever had, I will try the Falafel and update this review later.","['Middle Eastern Restaurant', 'Fast Food Restaurant', 'Catering']",7267794,1317755363,10/4/2011,"[37.791651, -122.403884]",$$,10/4/2011 19:09,19,9,23,-0.968414495,negative,-1
71,3,1130074,The Best sandwich shop at 595 Market,"['Organic Restaurant', 'Sandwich Shop']",7011109,1316551474,9/20/2011,"[37.788978, -122.400829]",$$,9/20/2011 20:44,20,44,34,0.942150043,positive,1
72,4,1130074,"Good steaks, friendly staff.",['Steak House'],6721325,1376790930,8/17/2013,"[37.504402, -121.972994]",$$,8/18/2013 1:55,1,55,30,0.664583096,positive,1
73,4,1130074,Best falafel in North-East Sunnyvale,"['Mediterranean Restaurant', 'Middle Eastern Restaurant', 'Salad Shop']",1429970,1314302899,8/25/2011,"[37.381736, -121.99513]",$$,8/25/2011 20:08,20,8,19,0.86123563,positive,1
74,3,1130074,The food was okay..... Nothing worth writing about. ops.,"['Greek Restaurant', 'European Restaurant', 'Mediterranean Restaurant']",3781358,1317153771,9/27/2011,"[37.787114, -122.40027]",$$$,9/27/2011 20:02,20,2,51,-0.18315514,neutral,0
75,4,1130074,"It was much better two years ago, what happened?","['Sandwich Shop', 'Fast Food Restaurant', 'Coffee Shop']",8147802,1316551419,9/20/2011,"[37.788315, -122.401391]",$$$,9/20/2011 20:43,20,43,39,-0.516019273,negative,-1
76,4,1130074,"I love eating breakfast in the open air patio, but the last three times I went there it was closed so I stopped going. The last time I went I was so disappointed I left to go to Stacks.","['American Restaurant', 'Breakfast Restaurant', 'Family Restaurant']",4986178,1302881877,4/15/2011,"[37.2881, -121.934295]",$$$,4/15/2011 15:37,15,37,57,-0.591899511,negative,-1
77,4,1130074,Had my first double down today so in the words of Ice-Cube today was a good day!,"['Chicken Restaurant', 'Fast Food Restaurant']",8808763,1303188493,4/18/2011,"[37.389197, -122.029569]",$$$,4/19/2011 4:48,4,48,13,0.554109382,positive,1
78,2,1130074,I eat there every week and its usually not a good experience.,"['Cafe', 'Dessert Shop', 'Cookie Shop']",2920264,1314650221,8/29/2011,"[37.381988, -121.977532]",$$,8/29/2011 20:37,20,37,1,-0.392349597,negative,-1
79,2,1130074,I found a bug in my salad.... I have eaten there multiple times and didn't have issue but today I uncovered something crawling across the egg in my salad and i found a twig in it. Now that i think of it the service was bad as well this time.  Never mind cuz I'm not going back,"['Restaurant', 'Sandwich Shop', 'Cafe']",1102074,1352841335,11/13/2012,"[37.788715, -122.400437]",$$$,11/13/2012 21:15,21,15,35,-0.7850092,negative,-1
80,5,1494067,Awesome! Brea is excellent..worth the drive from Henderson.,['American Restaurant'],560386,1369946005,5/30/2013,"[36.058239, -115.243712]",$$$,5/30/2013 20:33,20,33,25,0.945893862,positive,1
81,5,2779289,"I love this place!!! its almost like a farmers market!!! great food, prices, people and quality!!!!","['Supermarket', 'Gourmet Grocery Store']",2550686,1373756544,7/13/2013,"[37.249686, -121.877108]",$,7/13/2013 23:02,23,2,24,0.964735998,positive,1
82,4,490314,"My family has been coming here for over 20 yrs. And although the owners have changed from time to time the cook is the same. This is what you call ""a little hole in the wall"" but they have great tasting food for an affordable price. 20 yrs of loyalty to this place let's you know how great the food really is.",['Mexican Restaurant'],983026,1356212357,12/22/2012,"[34.083398, -118.310088]",$$,12/22/2012 21:39,21,39,17,0.765744458,positive,1
83,2,9792301,"On vacation from the east coast where Italian food is very popular. This place comes nowhere near even the most mediocre of places. Sauce on spaghetti and meatballs tasted like some sort of gravy, bread was stale, and oil and vinegar for the salad was delivered to the table in actual oil and vinegar bottles clearly plucked straight from the pantry. Won't be back to San Francisco anytime soon, but wouldn't recommend this place to anybody who has ever had real Italian food.","['European Restaurant', 'Italian Restaurant']",6166558,1338091559,5/26/2012,"[37.805787, -122.412079]",$$,5/27/2012 4:05,4,5,59,-0.736561812,negative,-1
84,5,5609126,Best Orange Peel Chicken I have ever had. Pricey but worth it!,"['Chinese Restaurant', 'Asian Restaurant']",3235620,1337801898,5/23/2012,"[33.921844, -118.416066]",$$$,5/23/2012 19:38,19,38,18,0.96248018,positive,1
85,5,5609126,"Great food, but I think they changed their salsa, not as good as it used to be","['Mexican Restaurant', 'Latin American Restaurant']",6023096,1333834660,4/7/2012,"[33.922727, -118.404423]",$$$,4/7/2012 21:37,21,37,40,0.243536821,neutral,0
86,5,5609126,Love the vegetarian burrito. Parking isn't the greatest.,['Mexican Restaurant'],3994773,1350171948,10/13/2012,"[33.919692, -118.396496]",$$$,10/13/2012 23:45,23,45,48,0.289743938,neutral,0
87,5,5609126,The people who work here are awesome!,['Coffee Shop'],4275085,1333506173,4/3/2012,"[33.807876, -118.272802]",$$$,4/4/2012 2:22,2,22,53,0.93588526,positive,1
